anio,municipio,temporada,mes,nomcultivo,sembrada
2017,Balancán,Norte,Diciembre,Tomate rojo (jitomate),16
2017,Emiliano Zapata,Norte,Enero,Chile verde,30
2017,Emiliano Zapata,Norte,Enero,Frijol,135
2017,Emiliano Zapata,Norte,Enero,Limón,8
2017,Emiliano Zapata,Norte,Enero,Maíz grano,405
2017,Emiliano Zapata,Norte,Enero,Naranja,6
2017,Emiliano Zapata,Norte,Enero,Sandía,0
2017,Emiliano Zapata,Norte,Enero,Sorgo grano,30
2017,Emiliano Zapata,Norte,Enero,Tomate rojo (jitomate),3
2017,Emiliano Zapata,Norte,Febrero,Chile verde,31
2017,Emiliano Zapata,Norte,Febrero,Frijol,148
2017,Emiliano Zapata,Norte,Febrero,Limón,8
2017,Emiliano Zapata,Norte,Febrero,Maíz grano,1095
2017,Emiliano Zapata,Norte,Febrero,Naranja,6
2017,Emiliano Zapata,Norte,Febrero,Sandía,22
2017,Emiliano Zapata,Norte,Febrero,Sorgo grano,385
2017,Emiliano Zapata,Norte,Febrero,Tomate rojo (jitomate),4
2017,Emiliano Zapata,Seca,Marzo,Chile verde,37
2017,Emiliano Zapata,Seca,Marzo,Frijol,148
2017,Emiliano Zapata,Seca,Marzo,Limón,8
2017,Emiliano Zapata,Seca,Marzo,Maíz grano,1130
2017,Emiliano Zapata,Seca,Marzo,Naranja,6
2017,Emiliano Zapata,Seca,Marzo,Sandía,22
2017,Emiliano Zapata,Seca,Marzo,Sorgo grano,385
2017,Emiliano Zapata,Seca,Marzo,Tomate rojo (jitomate),4
2017,Emiliano Zapata,Seca,Abril,Chile verde,37
2017,Emiliano Zapata,Seca,Abril,Frijol,148
2017,Emiliano Zapata,Seca,Abril,Limón,8
2017,Emiliano Zapata,Seca,Abril,Maíz grano,1130
2017,Emiliano Zapata,Seca,Abril,Naranja,6
2017,Emiliano Zapata,Seca,Abril,Sandía,22
2017,Emiliano Zapata,Seca,Abril,Sorgo grano,385
2017,Emiliano Zapata,Seca,Abril,Tomate rojo (jitomate),4
2017,Emiliano Zapata,Seca,Mayo,Arroz palay,650
2017,Emiliano Zapata,Seca,Mayo,Chile verde,37
2017,Emiliano Zapata,Seca,Mayo,Frijol,148
2017,Emiliano Zapata,Seca,Mayo,Limón,8
2017,Emiliano Zapata,Seca,Mayo,Maíz grano,1230
2017,Emiliano Zapata,Seca,Mayo,Naranja,6
2017,Emiliano Zapata,Seca,Mayo,Sandía,22
2017,Emiliano Zapata,Seca,Mayo,Sorgo grano,385
2017,Emiliano Zapata,Seca,Mayo,Tomate rojo (jitomate),4
2017,Emiliano Zapata,Temporal,Junio,Arroz palay,650
2017,Emiliano Zapata,Temporal,Junio,Chile verde,37
2017,Emiliano Zapata,Temporal,Junio,Frijol,148
2017,Emiliano Zapata,Temporal,Junio,Limón,8
2017,Emiliano Zapata,Temporal,Junio,Maíz grano,1455
2017,Emiliano Zapata,Temporal,Junio,Naranja,6
2017,Emiliano Zapata,Temporal,Junio,Sandía,37
2017,Emiliano Zapata,Temporal,Junio,Sorgo grano,385
2017,Emiliano Zapata,Temporal,Junio,Tomate rojo (jitomate),4
2017,Emiliano Zapata,Temporal,Julio,Arroz palay,911
2017,Emiliano Zapata,Temporal,Julio,Chile verde,39
2017,Emiliano Zapata,Temporal,Julio,Frijol,148
2017,Emiliano Zapata,Temporal,Julio,Limón,8
2017,Emiliano Zapata,Temporal,Julio,Maíz grano,2045
2017,Emiliano Zapata,Temporal,Julio,Naranja,6
2017,Emiliano Zapata,Temporal,Julio,Sandía,76
2017,Emiliano Zapata,Temporal,Julio,Sorgo grano,424
2017,Emiliano Zapata,Temporal,Julio,Tomate rojo (jitomate),4
2017,Emiliano Zapata,Temporal,Agosto,Arroz palay,911
2017,Emiliano Zapata,Temporal,Agosto,Chile verde,39
2017,Emiliano Zapata,Temporal,Agosto,Frijol,148
2017,Emiliano Zapata,Temporal,Agosto,Limón,8
2017,Emiliano Zapata,Temporal,Agosto,Maíz grano,2175
2017,Emiliano Zapata,Temporal,Agosto,Naranja,6
2017,Emiliano Zapata,Temporal,Agosto,Sandía,170
2017,Emiliano Zapata,Temporal,Agosto,Sorgo grano,683
2017,Emiliano Zapata,Temporal,Agosto,Tomate rojo (jitomate),4
2017,Emiliano Zapata,Temporal,Septiembre,Arroz palay,911
2017,Emiliano Zapata,Temporal,Septiembre,Chile verde,39
2017,Emiliano Zapata,Temporal,Septiembre,Frijol,148
2017,Emiliano Zapata,Temporal,Septiembre,Limón,8
2017,Emiliano Zapata,Temporal,Septiembre,Maíz grano,2175
2017,Emiliano Zapata,Temporal,Septiembre,Naranja,6
2017,Emiliano Zapata,Temporal,Septiembre,Sandía,170
2017,Emiliano Zapata,Temporal,Septiembre,Sorgo grano,683
2017,Emiliano Zapata,Temporal,Septiembre,Tomate rojo (jitomate),4
2017,Emiliano Zapata,Norte,Octubre,Arroz palay,911
2017,Emiliano Zapata,Norte,Octubre,Chile verde,39
2017,Emiliano Zapata,Norte,Octubre,Frijol,148
2017,Emiliano Zapata,Norte,Octubre,Limón,8
2017,Emiliano Zapata,Norte,Octubre,Maíz grano,2175
2017,Emiliano Zapata,Norte,Octubre,Naranja,6
2017,Emiliano Zapata,Norte,Octubre,Sandía,170
2017,Emiliano Zapata,Norte,Octubre,Sorgo grano,683
2017,Emiliano Zapata,Norte,Octubre,Tomate rojo (jitomate),4
2017,Emiliano Zapata,Norte,Noviembre,Arroz palay,911
2017,Emiliano Zapata,Norte,Noviembre,Chile verde,39
2017,Emiliano Zapata,Norte,Noviembre,Frijol,148
2017,Emiliano Zapata,Norte,Noviembre,Limón,8
2017,Emiliano Zapata,Norte,Noviembre,Maíz grano,2175
2017,Emiliano Zapata,Norte,Noviembre,Naranja,6
2017,Emiliano Zapata,Norte,Noviembre,Sandía,170
2017,Emiliano Zapata,Norte,Noviembre,Sorgo grano,683
2017,Emiliano Zapata,Norte,Noviembre,Tomate rojo (jitomate),4
2017,Emiliano Zapata,Norte,Diciembre,Arroz palay,911
2017,Emiliano Zapata,Norte,Diciembre,Chile verde,39
2017,Emiliano Zapata,Norte,Diciembre,Frijol,148
2017,Emiliano Zapata,Norte,Diciembre,Limón,8
2017,Emiliano Zapata,Norte,Diciembre,Maíz grano,2175
2017,Emiliano Zapata,Norte,Diciembre,Naranja,6
2017,Emiliano Zapata,Norte,Diciembre,Sandía,170
2017,Emiliano Zapata,Norte,Diciembre,Sorgo grano,683
2017,Emiliano Zapata,Norte,Diciembre,Tomate rojo (jitomate),4
2017,Tenosique,Norte,Enero,Caña de azucar,3650
2017,Tenosique,Norte,Enero,Chile verde,17
2017,Tenosique,Norte,Enero,Frijol,18
2017,Tenosique,Norte,Enero,Maíz grano,1603
2017,Tenosique,Norte,Enero,Mango,65
2017,Tenosique,Norte,Enero,Sandía,0
2017,Tenosique,Norte,Enero,Sorgo grano,260
2017,Tenosique,Norte,Enero,Tomate rojo (jitomate),1
2017,Tenosique,Norte,Febrero,Caña de azucar,3650
2017,Tenosique,Norte,Febrero,Chile verde,17
2017,Tenosique,Norte,Febrero,Frijol,37
2017,Tenosique,Norte,Febrero,Maíz grano,2257
2017,Tenosique,Norte,Febrero,Mango,65
2017,Tenosique,Norte,Febrero,Sandía,13
2017,Tenosique,Norte,Febrero,Sorgo grano,493
2017,Tenosique,Norte,Febrero,Tomate rojo (jitomate),1
2017,Tenosique,Seca,Marzo,Caña de azucar,3650
2017,Tenosique,Seca,Marzo,Chile verde,17
2017,Tenosique,Seca,Marzo,Frijol,37
2017,Tenosique,Seca,Marzo,Maíz grano,2257
2017,Tenosique,Seca,Marzo,Mango,65
2017,Tenosique,Seca,Marzo,Sandía,13
2017,Tenosique,Seca,Marzo,Sorgo grano,493
2017,Tenosique,Seca,Marzo,Tomate rojo (jitomate),1
2017,Tenosique,Seca,Abril,Caña de azucar,3650
2017,Tenosique,Seca,Abril,Chile verde,17
2017,Tenosique,Seca,Abril,Frijol,37
2017,Tenosique,Seca,Abril,Maíz grano,2257
2017,Tenosique,Seca,Abril,Mango,65
2017,Tenosique,Seca,Abril,Sandía,13
2017,Tenosique,Seca,Abril,Sorgo grano,493
2017,Tenosique,Seca,Abril,Tomate rojo (jitomate),1
2017,Tenosique,Seca,Mayo,Caña de azucar,3650
2017,Tenosique,Seca,Mayo,Chile verde,17
2017,Tenosique,Seca,Mayo,Frijol,37
2017,Tenosique,Seca,Mayo,Maíz grano,2757
2017,Tenosique,Seca,Mayo,Mango,65
2017,Tenosique,Seca,Mayo,Sandía,13
2017,Tenosique,Seca,Mayo,Sorgo grano,493
2017,Tenosique,Seca,Mayo,Tomate rojo (jitomate),1
2017,Tenosique,Temporal,Junio,Caña de azucar,3650
2017,Tenosique,Temporal,Junio,Chile verde,17
2017,Tenosique,Temporal,Junio,Frijol,37
2017,Tenosique,Temporal,Junio,Maíz grano,3343
2017,Tenosique,Temporal,Junio,Mango,65
2017,Tenosique,Temporal,Junio,Sandía,13
2017,Tenosique,Temporal,Junio,Sorgo grano,493
2017,Tenosique,Temporal,Junio,Tomate rojo (jitomate),1
2017,Tenosique,Temporal,Julio,Caña de azucar,3650
2017,Tenosique,Temporal,Julio,Chile verde,17
2017,Tenosique,Temporal,Julio,Frijol,37
2017,Tenosique,Temporal,Julio,Maíz grano,5090
2017,Tenosique,Temporal,Julio,Mango,65
2017,Tenosique,Temporal,Julio,Sandía,13
2017,Tenosique,Temporal,Julio,Sorgo grano,493
2017,Tenosique,Temporal,Julio,Tomate rojo (jitomate),1
2017,Tenosique,Temporal,Agosto,Caña de azucar,3650
2017,Tenosique,Temporal,Agosto,Chile verde,17
2017,Tenosique,Temporal,Agosto,Frijol,37
2017,Tenosique,Temporal,Agosto,Maíz grano,5117
2017,Tenosique,Temporal,Agosto,Mango,65
2017,Tenosique,Temporal,Agosto,Sandía,13
2017,Tenosique,Temporal,Agosto,Sorgo grano,493
2017,Tenosique,Temporal,Agosto,Tomate rojo (jitomate),1
2017,Tenosique,Temporal,Septiembre,Caña de azucar,3650
2017,Tenosique,Temporal,Septiembre,Chile verde,17
2017,Tenosique,Temporal,Septiembre,Frijol,37
2017,Tenosique,Temporal,Septiembre,Maíz grano,5117
2017,Tenosique,Temporal,Septiembre,Mango,65
2017,Tenosique,Temporal,Septiembre,Sandía,13
2017,Tenosique,Temporal,Septiembre,Sorgo grano,493
2017,Tenosique,Temporal,Septiembre,Tomate rojo (jitomate),1
2017,Tenosique,Norte,Octubre,Caña de azucar,3650
2017,Tenosique,Norte,Octubre,Chile verde,17
2017,Tenosique,Norte,Octubre,Frijol,37
2017,Tenosique,Norte,Octubre,Maíz grano,5117
2017,Tenosique,Norte,Octubre,Mango,65
2017,Tenosique,Norte,Octubre,Sandía,13
2017,Tenosique,Norte,Octubre,Sorgo grano,493
2017,Tenosique,Norte,Octubre,Tomate rojo (jitomate),1
2017,Tenosique,Norte,Noviembre,Caña de azucar,3650
2017,Tenosique,Norte,Noviembre,Chile verde,17
2017,Tenosique,Norte,Noviembre,Frijol,37
2017,Tenosique,Norte,Noviembre,Maíz grano,5117
2017,Tenosique,Norte,Noviembre,Mango,65
2017,Tenosique,Norte,Noviembre,Sandía,13
2017,Tenosique,Norte,Noviembre,Sorgo grano,493
2017,Tenosique,Norte,Noviembre,Tomate rojo (jitomate),1
2017,Tenosique,Norte,Diciembre,Caña de azucar,3650
2017,Tenosique,Norte,Diciembre,Chile verde,17
2017,Tenosique,Norte,Diciembre,Frijol,37
2017,Tenosique,Norte,Diciembre,Maíz grano,5117
2017,Tenosique,Norte,Diciembre,Mango,65
2017,Tenosique,Norte,Diciembre,Sandía,13
2017,Tenosique,Norte,Diciembre,Sorgo grano,493
2017,Tenosique,Norte,Diciembre,Tomate rojo (jitomate),1
2018,Jonuta,Norte,Enero,Chile verde,105
2018,Jonuta,Norte,Enero,Frijol,230
2018,Jonuta,Norte,Enero,Limón,5
2018,Jonuta,Norte,Enero,Maíz grano,2507
2018,Jonuta,Norte,Enero,Mango,10
2018,Jonuta,Norte,Enero,Sorgo grano,240
2018,Jonuta,Norte,Enero,Tomate rojo (jitomate),10
2018,Jonuta,Norte,Febrero,Chile verde,105
2018,Jonuta,Norte,Febrero,Frijol,230
2018,Jonuta,Norte,Febrero,Limón,5
2018,Jonuta,Norte,Febrero,Maíz grano,2507
2018,Jonuta,Norte,Febrero,Mango,10
2018,Jonuta,Norte,Febrero,Sorgo grano,240
2018,Jonuta,Norte,Febrero,Tomate rojo (jitomate),10
2018,Jonuta,Seca,Marzo,Chile verde,105
2018,Jonuta,Seca,Marzo,Frijol,230
2018,Jonuta,Seca,Marzo,Limón,5
2018,Jonuta,Seca,Marzo,Maíz grano,2507
2018,Jonuta,Seca,Marzo,Mango,10
2018,Jonuta,Seca,Marzo,Sorgo grano,240
2018,Jonuta,Seca,Marzo,Tomate rojo (jitomate),10
2018,Jonuta,Seca,Abril,Chile verde,105
2018,Jonuta,Seca,Abril,Frijol,230
2018,Jonuta,Seca,Abril,Limón,5
2018,Jonuta,Seca,Abril,Maíz grano,2507
2018,Jonuta,Seca,Abril,Mango,10
2018,Jonuta,Seca,Abril,Sorgo grano,240
2018,Jonuta,Seca,Abril,Tomate rojo (jitomate),10
2018,Jonuta,Seca,Mayo,Chile verde,105
2018,Jonuta,Seca,Mayo,Frijol,230
2018,Jonuta,Seca,Mayo,Limón,5
2018,Jonuta,Seca,Mayo,Maíz grano,2507
2018,Jonuta,Seca,Mayo,Mango,10
2018,Jonuta,Seca,Mayo,Sorgo grano,240
2018,Jonuta,Seca,Mayo,Tomate rojo (jitomate),10
2018,Jonuta,Temporal,Junio,Chile verde,105
2018,Jonuta,Temporal,Junio,Frijol,230
2018,Jonuta,Temporal,Junio,Limón,5
2018,Jonuta,Temporal,Junio,Maíz grano,3069
2018,Jonuta,Temporal,Junio,Mango,10
2018,Jonuta,Temporal,Junio,Sorgo grano,240
2018,Jonuta,Temporal,Junio,Tomate rojo (jitomate),10
2018,Jonuta,Temporal,Julio,Chile verde,237
2018,Jonuta,Temporal,Julio,Frijol,230
2018,Jonuta,Temporal,Julio,Limón,5
2018,Jonuta,Temporal,Julio,Maíz grano,5492
2018,Jonuta,Temporal,Julio,Mango,10
2018,Jonuta,Temporal,Julio,Sorgo grano,240
2018,Jonuta,Temporal,Julio,Tomate rojo (jitomate),10
2018,Jonuta,Temporal,Agosto,Chile verde,237
2018,Jonuta,Temporal,Agosto,Frijol,230
2018,Jonuta,Temporal,Agosto,Limón,5
2018,Jonuta,Temporal,Agosto,Maíz grano,5492
2018,Jonuta,Temporal,Agosto,Mango,10
2018,Jonuta,Temporal,Agosto,Sorgo grano,340
2018,Jonuta,Temporal,Agosto,Tomate rojo (jitomate),10
2018,Jonuta,Temporal,Septiembre,Chile verde,237
2018,Jonuta,Temporal,Septiembre,Frijol,230
2018,Jonuta,Temporal,Septiembre,Limón,5
2018,Jonuta,Temporal,Septiembre,Maíz grano,5492
2018,Jonuta,Temporal,Septiembre,Mango,10
2018,Jonuta,Temporal,Septiembre,Sorgo grano,340
2018,Jonuta,Temporal,Septiembre,Tomate rojo (jitomate),10
2018,Jonuta,Norte,Octubre,Chile verde,237
2018,Jonuta,Norte,Octubre,Frijol,230
2018,Jonuta,Norte,Octubre,Limón,5
2018,Jonuta,Norte,Octubre,Maíz grano,5492
2018,Jonuta,Norte,Octubre,Mango,10
2018,Jonuta,Norte,Octubre,Sorgo grano,340
2018,Jonuta,Norte,Octubre,Tomate rojo (jitomate),10
2018,Jonuta,Norte,Noviembre,Chile verde,237
2018,Jonuta,Norte,Noviembre,Frijol,230
2018,Jonuta,Norte,Noviembre,Limón,5
2018,Jonuta,Norte,Noviembre,Maíz grano,5492
2018,Jonuta,Norte,Noviembre,Mango,10
2018,Jonuta,Norte,Noviembre,Sorgo grano,340
2018,Jonuta,Norte,Noviembre,Tomate rojo (jitomate),10
2018,Jonuta,Norte,Diciembre,Chile verde,237
2018,Jonuta,Norte,Diciembre,Frijol,230
2018,Jonuta,Norte,Diciembre,Limón,5
2018,Jonuta,Norte,Diciembre,Maíz grano,5492
2018,Jonuta,Norte,Diciembre,Mango,10
2018,Jonuta,Norte,Diciembre,Sorgo grano,340
2018,Jonuta,Norte,Diciembre,Tomate rojo (jitomate),10
2018,Balancán,Norte,Enero,Caña de azucar,56
2018,Balancán,Norte,Enero,Chile verde,61.5
2018,Balancán,Norte,Enero,Frijol,348
2018,Balancán,Norte,Enero,Maíz grano,7120
2018,Balancán,Norte,Enero,Naranja,10
2018,Balancán,Norte,Enero,Papaya,154
2018,Balancán,Norte,Enero,Sandía,410
2018,Balancán,Norte,Enero,Sorgo grano,3150
2018,Balancán,Norte,Enero,Tomate rojo (jitomate),9.5
2018,Balancán,Norte,Febrero,Caña de azucar,56
2018,Balancán,Norte,Febrero,Chile verde,75.5
2018,Balancán,Norte,Febrero,Frijol,361
2018,Balancán,Norte,Febrero,Maíz grano,7577
2018,Balancán,Norte,Febrero,Naranja,10
2018,Balancán,Norte,Febrero,Papaya,154
2018,Balancán,Norte,Febrero,Sandía,472
2018,Balancán,Norte,Febrero,Sorgo grano,4025
2018,Balancán,Norte,Febrero,Tomate rojo (jitomate),12
2018,Balancán,Seca,Marzo,Caña de azucar,56
2018,Balancán,Seca,Marzo,Chile verde,75.5
2018,Balancán,Seca,Marzo,Frijol,376
2018,Balancán,Seca,Marzo,Maíz grano,7577
2018,Balancán,Seca,Marzo,Naranja,10
2018,Balancán,Seca,Marzo,Papaya,154
2018,Balancán,Seca,Marzo,Sandía,472
2018,Balancán,Seca,Marzo,Sorgo grano,4025
